source,target,weight
"('CONTEXT-REG', 'resourceful')",resourceful,1
"('CONTEXT-REG', 'self-starter')",self-starter,1
"('CORE-ADAPT', 'cybersecurity')",cybersecurity,1
"('CORE-ADAPT', 'entrepreneurial')",entrepreneurial,1
"('CORE-ADAPT', 'execution-oriented')",execution-oriented,1
"('CORE-ADAPT', 'remote-friendly work culture')",remote-friendly work culture,1
"('CORE-ADAPT', 'resourceful')",resourceful,1
"('CORE-ADAPT', 'self-starter')",self-starter,2
"('CORE-BUSINESS', 'cybersecurity')",cybersecurity,1
"('CORE-BUSINESS', 'entrepreneurial')",entrepreneurial,1
"('CORE-BUSINESS', 'execution-oriented')",execution-oriented,1
"('CORE-BUSINESS', 'remote-friendly work culture')",remote-friendly work culture,1
"('CORE-BUSINESS', 'resourceful')",resourceful,1
"('CORE-BUSINESS', 'self-starter')",self-starter,2
"('EXP-INDUSTRY', 'cybersecurity')",cybersecurity,1
"('EXP-INDUSTRY', 'entrepreneurial')",entrepreneurial,1
"('EXP-INDUSTRY', 'execution-oriented')",execution-oriented,1
"('EXP-INDUSTRY', 'remote-friendly work culture')",remote-friendly work culture,1
"('EXP-INDUSTRY', 'resourceful')",resourceful,1
"('EXP-INDUSTRY', 'self-starter')",self-starter,2
"('EXP-PM-YRS', 'cybersecurity')",cybersecurity,1
"('EXP-PM-YRS', 'entrepreneurial')",entrepreneurial,1
"('EXP-PM-YRS', 'execution-oriented')",execution-oriented,1
"('EXP-PM-YRS', 'remote-friendly work culture')",remote-friendly work culture,1
"('EXP-PM-YRS', 'resourceful')",resourceful,1
"('EXP-PM-YRS', 'self-starter')",self-starter,2
"('EXP_ROLE', 'cybersecurity')",cybersecurity,1
"('EXP_ROLE', 'entrepreneurial')",entrepreneurial,1
"('EXP_ROLE', 'execution-oriented')",execution-oriented,1
"('EXP_ROLE', 'remote-friendly work culture')",remote-friendly work culture,1
"('EXP_ROLE', 'resourceful')",resourceful,1
"('EXP_ROLE', 'self-starter')",self-starter,2
"('PM-PLAN', 'cybersecurity')",cybersecurity,1
"('PM-PLAN', 'entrepreneurial')",entrepreneurial,1
"('PM-PLAN', 'execution-oriented')",execution-oriented,1
"('PM-PLAN', 'remote-friendly work culture')",remote-friendly work culture,1
"('PM-PLAN', 'resourceful')",resourceful,1
"('PM-PLAN', 'self-starter')",self-starter,2
"('PM-RISK', 'cybersecurity')",cybersecurity,1
"('PM-RISK', 'entrepreneurial')",entrepreneurial,1
"('PM-RISK', 'execution-oriented')",execution-oriented,1
"('PM-RISK', 'remote-friendly work culture')",remote-friendly work culture,1
"('PM-RISK', 'resourceful')",resourceful,1
"('PM-RISK', 'self-starter')",self-starter,2
"('SS-LEADERSHIP', 'cybersecurity')",cybersecurity,1
"('SS-LEADERSHIP', 'entrepreneurial')",entrepreneurial,1
"('SS-LEADERSHIP', 'execution-oriented')",execution-oriented,1
"('SS-LEADERSHIP', 'remote-friendly work culture')",remote-friendly work culture,1
"('SS-LEADERSHIP', 'resourceful')",resourceful,1
"('SS-LEADERSHIP', 'self-starter')",self-starter,2
"('SS-STAKEHOLDER', 'cybersecurity')",cybersecurity,1
"('SS-STAKEHOLDER', 'entrepreneurial')",entrepreneurial,1
"('SS-STAKEHOLDER', 'execution-oriented')",execution-oriented,1
"('SS-STAKEHOLDER', 'remote-friendly work culture')",remote-friendly work culture,1
"('SS-STAKEHOLDER', 'resourceful')",resourceful,1
"('SS-STAKEHOLDER', 'self-starter')",self-starter,2
"('TECH-CONCEPT', 'cybersecurity')",cybersecurity,1
"('TECH-CONCEPT', 'entrepreneurial')",entrepreneurial,1
"('TECH-CONCEPT', 'execution-oriented')",execution-oriented,1
"('TECH-CONCEPT', 'remote-friendly work culture')",remote-friendly work culture,1
"('TECH-CONCEPT', 'resourceful')",resourceful,1
"('TECH-CONCEPT', 'self-starter')",self-starter,2
"('TECH-OPS', 'cybersecurity')",cybersecurity,1
"('TECH-OPS', 'entrepreneurial')",entrepreneurial,1
"('TECH-OPS', 'execution-oriented')",execution-oriented,1
"('TECH-OPS', 'remote-friendly work culture')",remote-friendly work culture,1
"('TECH-OPS', 'resourceful')",resourceful,1
"('TECH-OPS', 'self-starter')",self-starter,2
"('cybersecurity', 'entrepreneurial')",entrepreneurial,1
"('cybersecurity', 'execution-oriented')",execution-oriented,1
"('cybersecurity', 'remote-friendly work culture')",remote-friendly work culture,1
"('cybersecurity', 'resourceful')",resourceful,1
"('cybersecurity', 'self-starter')",self-starter,1
"('entrepreneurial', 'execution-oriented')",execution-oriented,1
"('entrepreneurial', 'remote-friendly work culture')",remote-friendly work culture,1
"('entrepreneurial', 'resourceful')",resourceful,1
"('entrepreneurial', 'self-starter')",self-starter,1
"('execution-oriented', 'remote-friendly work culture')",remote-friendly work culture,1
"('execution-oriented', 'resourceful')",resourceful,1
"('execution-oriented', 'self-starter')",self-starter,1
"('remote-friendly work culture', 'resourceful')",resourceful,1
"('remote-friendly work culture', 'self-starter')",self-starter,1
"('resourceful', 'self-starter')",self-starter,1
"('CERT-TECH', 'SS-CONFLICT')",SS-CONFLICT,3
"('CONTEXT-COMPLEX', 'balancing competing priorities')",balancing competing priorities,1
"('CONTEXT-COMPLEX', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('CONTEXT-COMPLEX', 'exceptional organizational skills')",exceptional organizational skills,1
"('CONTEXT-COMPLEX', 'experience with sdlc models')",experience with sdlc models,1
"('CONTEXT-COMPLEX', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('CONTEXT-COMPLEX', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('CONTEXT-COMPLEX', 'modernize systems')",modernize systems,1
"('CONTEXT-COMPLEX', 'on-site')",on-site,1
"('CONTEXT-COMPLEX', 'project execution')",project execution,1
"('CONTEXT-COMPLEX', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('CORE-ADAPT', 'balancing competing priorities')",balancing competing priorities,1
"('CORE-ADAPT', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('CORE-ADAPT', 'exceptional organizational skills')",exceptional organizational skills,1
"('CORE-ADAPT', 'experience with sdlc models')",experience with sdlc models,1
"('CORE-ADAPT', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('CORE-ADAPT', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('CORE-ADAPT', 'modernize systems')",modernize systems,1
"('CORE-ADAPT', 'on-site')",on-site,1
"('CORE-ADAPT', 'project execution')",project execution,1
"('CORE-ADAPT', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('CORE-BUSINESS', 'balancing competing priorities')",balancing competing priorities,1
"('CORE-BUSINESS', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('CORE-BUSINESS', 'exceptional organizational skills')",exceptional organizational skills,1
"('CORE-BUSINESS', 'experience with sdlc models')",experience with sdlc models,1
"('CORE-BUSINESS', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('CORE-BUSINESS', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('CORE-BUSINESS', 'modernize systems')",modernize systems,1
"('CORE-BUSINESS', 'on-site')",on-site,1
"('CORE-BUSINESS', 'project execution')",project execution,1
"('CORE-BUSINESS', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('EXP-INDUSTRY', 'balancing competing priorities')",balancing competing priorities,1
"('EXP-INDUSTRY', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('EXP-INDUSTRY', 'exceptional organizational skills')",exceptional organizational skills,1
"('EXP-INDUSTRY', 'experience with sdlc models')",experience with sdlc models,1
"('EXP-INDUSTRY', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('EXP-INDUSTRY', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('EXP-INDUSTRY', 'modernize systems')",modernize systems,1
"('EXP-INDUSTRY', 'on-site')",on-site,1
"('EXP-INDUSTRY', 'project execution')",project execution,1
"('EXP-INDUSTRY', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('EXP-PM-YRS', 'balancing competing priorities')",balancing competing priorities,1
"('EXP-PM-YRS', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('EXP-PM-YRS', 'exceptional organizational skills')",exceptional organizational skills,1
"('EXP-PM-YRS', 'experience with sdlc models')",experience with sdlc models,1
"('EXP-PM-YRS', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('EXP-PM-YRS', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('EXP-PM-YRS', 'modernize systems')",modernize systems,1
"('EXP-PM-YRS', 'on-site')",on-site,1
"('EXP-PM-YRS', 'project execution')",project execution,1
"('EXP-PM-YRS', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('EXP_ROLE', 'balancing competing priorities')",balancing competing priorities,1
"('EXP_ROLE', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('EXP_ROLE', 'exceptional organizational skills')",exceptional organizational skills,1
"('EXP_ROLE', 'experience with sdlc models')",experience with sdlc models,1
"('EXP_ROLE', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('EXP_ROLE', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('EXP_ROLE', 'modernize systems')",modernize systems,1
"('EXP_ROLE', 'on-site')",on-site,1
"('EXP_ROLE', 'project execution')",project execution,1
"('EXP_ROLE', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('PM-PLAN', 'balancing competing priorities')",balancing competing priorities,1
"('PM-PLAN', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('PM-PLAN', 'exceptional organizational skills')",exceptional organizational skills,1
"('PM-PLAN', 'experience with sdlc models')",experience with sdlc models,1
"('PM-PLAN', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('PM-PLAN', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('PM-PLAN', 'modernize systems')",modernize systems,1
"('PM-PLAN', 'on-site')",on-site,1
"('PM-PLAN', 'project execution')",project execution,1
"('PM-PLAN', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('PM-RISK', 'balancing competing priorities')",balancing competing priorities,1
"('PM-RISK', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('PM-RISK', 'exceptional organizational skills')",exceptional organizational skills,1
"('PM-RISK', 'experience with sdlc models')",experience with sdlc models,1
"('PM-RISK', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('PM-RISK', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('PM-RISK', 'modernize systems')",modernize systems,1
"('PM-RISK', 'on-site')",on-site,1
"('PM-RISK', 'project execution')",project execution,1
"('PM-RISK', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('QUAL-PREF', 'balancing competing priorities')",balancing competing priorities,1
"('QUAL-PREF', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('QUAL-PREF', 'exceptional organizational skills')",exceptional organizational skills,1
"('QUAL-PREF', 'experience with sdlc models')",experience with sdlc models,1
"('QUAL-PREF', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('QUAL-PREF', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('QUAL-PREF', 'modernize systems')",modernize systems,1
"('QUAL-PREF', 'on-site')",on-site,1
"('QUAL-PREF', 'project execution')",project execution,1
"('QUAL-PREF', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('QUAL-PREF', 'self-starter')",self-starter,1
"('SS-CONFLICT', 'balancing competing priorities')",balancing competing priorities,1
"('SS-CONFLICT', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('SS-CONFLICT', 'exceptional organizational skills')",exceptional organizational skills,1
"('SS-CONFLICT', 'experience with sdlc models')",experience with sdlc models,1
"('SS-CONFLICT', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('SS-CONFLICT', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('SS-CONFLICT', 'modernize systems')",modernize systems,1
"('SS-CONFLICT', 'on-site')",on-site,1
"('SS-CONFLICT', 'process improvement')",process improvement,1
"('SS-CONFLICT', 'project execution')",project execution,1
"('SS-CONFLICT', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('SS-CONFLICT', 'self-starter')",self-starter,1
"('SS-LEADERSHIP', 'balancing competing priorities')",balancing competing priorities,1
"('SS-LEADERSHIP', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('SS-LEADERSHIP', 'exceptional organizational skills')",exceptional organizational skills,1
"('SS-LEADERSHIP', 'experience with sdlc models')",experience with sdlc models,1
"('SS-LEADERSHIP', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('SS-LEADERSHIP', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('SS-LEADERSHIP', 'modernize systems')",modernize systems,1
"('SS-LEADERSHIP', 'on-site')",on-site,1
"('SS-LEADERSHIP', 'project execution')",project execution,1
"('SS-LEADERSHIP', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('SS-STAKEHOLDER', 'balancing competing priorities')",balancing competing priorities,1
"('SS-STAKEHOLDER', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('SS-STAKEHOLDER', 'exceptional organizational skills')",exceptional organizational skills,1
"('SS-STAKEHOLDER', 'experience with sdlc models')",experience with sdlc models,1
"('SS-STAKEHOLDER', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('SS-STAKEHOLDER', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('SS-STAKEHOLDER', 'modernize systems')",modernize systems,1
"('SS-STAKEHOLDER', 'on-site')",on-site,1
"('SS-STAKEHOLDER', 'project execution')",project execution,1
"('SS-STAKEHOLDER', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('TECH-CONCEPT', 'balancing competing priorities')",balancing competing priorities,1
"('TECH-CONCEPT', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('TECH-CONCEPT', 'exceptional organizational skills')",exceptional organizational skills,1
"('TECH-CONCEPT', 'experience with sdlc models')",experience with sdlc models,1
"('TECH-CONCEPT', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('TECH-CONCEPT', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('TECH-CONCEPT', 'modernize systems')",modernize systems,1
"('TECH-CONCEPT', 'on-site')",on-site,1
"('TECH-CONCEPT', 'project execution')",project execution,1
"('TECH-CONCEPT', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('TECH-HANDSON', 'balancing competing priorities')",balancing competing priorities,1
"('TECH-HANDSON', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('TECH-HANDSON', 'exceptional organizational skills')",exceptional organizational skills,1
"('TECH-HANDSON', 'experience with sdlc models')",experience with sdlc models,1
"('TECH-HANDSON', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('TECH-HANDSON', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('TECH-HANDSON', 'modernize systems')",modernize systems,1
"('TECH-HANDSON', 'on-site')",on-site,1
"('TECH-HANDSON', 'process improvement')",process improvement,1
"('TECH-HANDSON', 'project execution')",project execution,1
"('TECH-HANDSON', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('TECH-HANDSON', 'self-starter')",self-starter,1
"('TECH-OPS', 'balancing competing priorities')",balancing competing priorities,1
"('TECH-OPS', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('TECH-OPS', 'exceptional organizational skills')",exceptional organizational skills,1
"('TECH-OPS', 'experience with sdlc models')",experience with sdlc models,1
"('TECH-OPS', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('TECH-OPS', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('TECH-OPS', 'modernize systems')",modernize systems,1
"('TECH-OPS', 'on-site')",on-site,1
"('TECH-OPS', 'project execution')",project execution,1
"('TECH-OPS', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('balancing competing priorities', 'comfort working on non-technical projects')",comfort working on non-technical projects,1
"('balancing competing priorities', 'exceptional organizational skills')",exceptional organizational skills,1
"('balancing competing priorities', 'experience with sdlc models')",experience with sdlc models,1
"('balancing competing priorities', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('balancing competing priorities', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('balancing competing priorities', 'modernize systems')",modernize systems,1
"('balancing competing priorities', 'on-site')",on-site,1
"('balancing competing priorities', 'process improvement')",process improvement,1
"('balancing competing priorities', 'project execution')",project execution,1
"('balancing competing priorities', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('balancing competing priorities', 'self-starter')",self-starter,1
"('comfort working on non-technical projects', 'exceptional organizational skills')",exceptional organizational skills,1
"('comfort working on non-technical projects', 'experience with sdlc models')",experience with sdlc models,1
"('comfort working on non-technical projects', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('comfort working on non-technical projects', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('comfort working on non-technical projects', 'modernize systems')",modernize systems,1
"('comfort working on non-technical projects', 'on-site')",on-site,1
"('comfort working on non-technical projects', 'process improvement')",process improvement,1
"('comfort working on non-technical projects', 'project execution')",project execution,1
"('comfort working on non-technical projects', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('comfort working on non-technical projects', 'self-starter')",self-starter,1
"('exceptional organizational skills', 'experience with sdlc models')",experience with sdlc models,1
"('exceptional organizational skills', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('exceptional organizational skills', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('exceptional organizational skills', 'modernize systems')",modernize systems,1
"('exceptional organizational skills', 'on-site')",on-site,1
"('exceptional organizational skills', 'process improvement')",process improvement,1
"('exceptional organizational skills', 'project execution')",project execution,1
"('exceptional organizational skills', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('exceptional organizational skills', 'self-starter')",self-starter,1
"('experience with sdlc models', 'familiarity with enterprise applications (preferred)')",familiarity with enterprise applications (preferred),1
"('experience with sdlc models', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('experience with sdlc models', 'modernize systems')",modernize systems,1
"('experience with sdlc models', 'on-site')",on-site,1
"('experience with sdlc models', 'process improvement')",process improvement,1
"('experience with sdlc models', 'project execution')",project execution,1
"('experience with sdlc models', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('experience with sdlc models', 'self-starter')",self-starter,1
"('familiarity with enterprise applications (preferred)', 'familiarity with vendor feeds (preferred)')",familiarity with vendor feeds (preferred),1
"('familiarity with enterprise applications (preferred)', 'modernize systems')",modernize systems,1
"('familiarity with enterprise applications (preferred)', 'on-site')",on-site,1
"('familiarity with enterprise applications (preferred)', 'process improvement')",process improvement,1
"('familiarity with enterprise applications (preferred)', 'project execution')",project execution,1
"('familiarity with enterprise applications (preferred)', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('familiarity with enterprise applications (preferred)', 'self-starter')",self-starter,1
"('familiarity with vendor feeds (preferred)', 'modernize systems')",modernize systems,1
"('familiarity with vendor feeds (preferred)', 'on-site')",on-site,1
"('familiarity with vendor feeds (preferred)', 'process improvement')",process improvement,1
"('familiarity with vendor feeds (preferred)', 'project execution')",project execution,1
"('familiarity with vendor feeds (preferred)', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('familiarity with vendor feeds (preferred)', 'self-starter')",self-starter,1
"('modernize systems', 'on-site')",on-site,1
"('modernize systems', 'process improvement')",process improvement,1
"('modernize systems', 'project execution')",project execution,1
"('modernize systems', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('modernize systems', 'self-starter')",self-starter,1
"('on-site', 'process improvement')",process improvement,1
"('on-site', 'project execution')",project execution,1
"('on-site', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('on-site', 'self-starter')",self-starter,1
"('process improvement', 'project execution')",project execution,1
"('process improvement', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('process improvement', 'self-starter')",self-starter,1
"('project execution', 'quantitative trading and financial services')",quantitative trading and financial services,1
"('project execution', 'self-starter')",self-starter,1
"('quantitative trading and financial services', 'self-starter')",self-starter,1
"('CERT-PM', 'CERT-TECH')",CERT-TECH,3
"('CERT-PM', 'analytical mindset')",analytical mindset,1
"('CERT-PM', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('CERT-PM', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('CERT-PM', 'project management best practices')",project management best practices,1
"('CERT-PM', 'technical acumen')",technical acumen,1
"('CERT-TECH', 'EXP-AI-YRS')",EXP-AI-YRS,3
"('CERT-TECH', 'PM-BUDGET')",PM-BUDGET,1
"('CERT-TECH', 'PM-METHOD')",PM-METHOD,1
"('CERT-TECH', 'PM-TOOL')",PM-TOOL,2
"('CERT-TECH', 'analytical mindset')",analytical mindset,1
"('CERT-TECH', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('CERT-TECH', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('CERT-TECH', 'project management best practices')",project management best practices,1
"('CERT-TECH', 'technical acumen')",technical acumen,1
"('CONTEXT-COMPLEX', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('CONTEXT-COMPLEX', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('CONTEXT-COMPLEX', 'project management best practices')",project management best practices,1
"('CONTEXT-COMPLEX', 'technical acumen')",technical acumen,1
"('CORE-ADAPT', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('CORE-ADAPT', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('CORE-ADAPT', 'project management best practices')",project management best practices,1
"('CORE-ADAPT', 'technical acumen')",technical acumen,1
"('CORE-BUSINESS', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('CORE-BUSINESS', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('CORE-BUSINESS', 'project management best practices')",project management best practices,1
"('CORE-BUSINESS', 'technical acumen')",technical acumen,1
"('EXP-AI-YRS', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('EXP-AI-YRS', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('EXP-AI-YRS', 'project management best practices')",project management best practices,1
"('EXP-AI-YRS', 'technical acumen')",technical acumen,1
"('EXP-PM-YRS', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('EXP-PM-YRS', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('EXP-PM-YRS', 'project management best practices')",project management best practices,1
"('EXP-PM-YRS', 'technical acumen')",technical acumen,1
"('EXP_ROLE', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('EXP_ROLE', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('EXP_ROLE', 'project management best practices')",project management best practices,1
"('EXP_ROLE', 'technical acumen')",technical acumen,1
"('PM-BUDGET', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('PM-BUDGET', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('PM-BUDGET', 'project management best practices')",project management best practices,1
"('PM-BUDGET', 'technical acumen')",technical acumen,1
"('PM-METHOD', 'analytical mindset')",analytical mindset,1
"('PM-METHOD', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('PM-METHOD', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('PM-METHOD', 'project management best practices')",project management best practices,1
"('PM-METHOD', 'technical acumen')",technical acumen,1
"('PM-PLAN', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('PM-PLAN', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('PM-PLAN', 'project management best practices')",project management best practices,1
"('PM-PLAN', 'technical acumen')",technical acumen,1
"('PM-RISK', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('PM-RISK', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('PM-RISK', 'project management best practices')",project management best practices,1
"('PM-RISK', 'technical acumen')",technical acumen,1
"('PM-TOOL', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('PM-TOOL', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('PM-TOOL', 'project management best practices')",project management best practices,1
"('PM-TOOL', 'technical acumen')",technical acumen,1
"('QUAL-PREF', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('QUAL-PREF', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('QUAL-PREF', 'project management best practices')",project management best practices,1
"('QUAL-PREF', 'technical acumen')",technical acumen,1
"('SS-CONFLICT', 'analytical mindset')",analytical mindset,1
"('SS-CONFLICT', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('SS-CONFLICT', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('SS-CONFLICT', 'project management best practices')",project management best practices,1
"('SS-CONFLICT', 'technical acumen')",technical acumen,1
"('SS-LEADERSHIP', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('SS-LEADERSHIP', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('SS-LEADERSHIP', 'project management best practices')",project management best practices,1
"('SS-LEADERSHIP', 'technical acumen')",technical acumen,1
"('SS-STAKEHOLDER', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('SS-STAKEHOLDER', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('SS-STAKEHOLDER', 'project management best practices')",project management best practices,1
"('SS-STAKEHOLDER', 'technical acumen')",technical acumen,1
"('TECH-CONCEPT', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('TECH-CONCEPT', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('TECH-CONCEPT', 'project management best practices')",project management best practices,1
"('TECH-CONCEPT', 'technical acumen')",technical acumen,1
"('TECH-HANDSON', 'analytical mindset')",analytical mindset,1
"('TECH-HANDSON', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('TECH-HANDSON', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('TECH-HANDSON', 'project management best practices')",project management best practices,1
"('TECH-HANDSON', 'technical acumen')",technical acumen,1
"('TECH-OPS', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('TECH-OPS', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('TECH-OPS', 'project management best practices')",project management best practices,1
"('TECH-OPS', 'technical acumen')",technical acumen,1
"('analytical mindset', 'commitment to continuous process improvement')",commitment to continuous process improvement,1
"('analytical mindset', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('analytical mindset', 'project management best practices')",project management best practices,1
"('analytical mindset', 'technical acumen')",technical acumen,1
"('commitment to continuous process improvement', 'ensure transparency and execution discipline')",ensure transparency and execution discipline,1
"('commitment to continuous process improvement', 'project management best practices')",project management best practices,1
"('commitment to continuous process improvement', 'technical acumen')",technical acumen,1
"('ensure transparency and execution discipline', 'project management best practices')",project management best practices,1
"('ensure transparency and execution discipline', 'technical acumen')",technical acumen,1
"('project management best practices', 'technical acumen')",technical acumen,1
"('CONTEXT-COMPLEX', 'experience collaborating in hybrid teams')",experience collaborating in hybrid teams,1
"('CONTEXT-COMPLEX', 'highly skilled and self-driven')",highly skilled and self-driven,1
