phrase,cluster
partner with the legal team on regularity compliance,4
experience working with regulatory compliance in finance and insurance sectors,4
ethical guidelines,4
driving user acceptance testing (uat),4
nga iv&v requirements,4
prosci certification (preferred),4
"broad understanding of regulations, advocacy, standards",4
monitor and interpret financial regulatory guidance,4
ensure compliance,4
environmental standards,4
security controls implementation,4
global privacy protocols,4
contract oversight,4
uphold quality standards,4
ensuring responsible adoption,4
knowledge of iso 42001,4
epic cogito certification,4
transparency and accountability,4
core security domains knowledge,4
rbac (role-based access control),4
knowledge in implementing web content accessibility guidelines (wcag) 2.2 aa standards,4
policy enforcement,4
"follow federal, state, and local laws",4
csm certification (plus),4
experience in packaging regulations (preferred),4
ensuring standards and regulations are up to date,4
multi-regional compliance requirements,4
consumer electronics regulation and compliance,4
industry standards compliance,4
pmp certification (plus),4
regulatory requirements compliance,4
ability to obtain a secret clearance,4
create playbooks and setting clear guidelines,4
awareness of regional compliance requirements,4
knowledge of compliance and data privacy (online education),4
legally authorized to work in the united states,4
wasc accreditation standards familiarity,4
driving business validation testing (bvt),4
emc standards,4
experience in product environmental & chemical compliance (preferred),4
msft technology certifications,4
active top secret clearance with sci eligibility,4
validate model functionality,4
privacy requirements collaboration,4
upholding the highest standards of product integrity,4
commitment to patient privacy,4
integrating ethical guidelines,4
experience in biocompatibility regulations (preferred),4
authority to operate (ato),4
ensure alignment and transparency,4
model validation knowledge,4
six sigma green belt certification,4
ability to run coe review boards,4
knowledge of accessibility best practices,4
ensure compliance with industry standards,4
knowledge in implementing web content accessibility guidelines (wcag 2.2 aa),4
strong working knowledge of core security domains,4
wireless standards,4
phi sensitive data exposure,4
pmi-acp certification (preferred),4
integrating security controls,4
conduct regular assessments of adoption barriers and opportunities,4
leading reviews with cross functional vps on key upcoming standards and regulations,4
access management and auditability,4
security standards alignment,4
compliance maintenance,4
audit logging practices,4
compliance checks,4
ability to interpret regulations for product and schedule impact,4
advanced certification in clinical informatics,4
ethical considerations,4
track project performance,5
cost/benefit analysis,5
establish and monitor key performance indicators (kpis) and metrics,5
performance metrics,5
design powerbi dashboards and reports,5
"tracking success metrics (cost per variation, time-to-market, creative effectiveness)",5
success metrics definition,5
"report in roi, performance and adoption",5
reporting/analytics tools,5
identify and prioritize internal productivity use cases,5
roi tracking,5
key performance indicators (kpis),5
operational efficiency enhancement,5
defining and tracking success metrics,5
implementing programmatic metrics,5
prepare performance reports,5
evaluating creative performance,5
establishing metrics and dashboards,5
develop and track key performance indicators for genai adoption and usage,5
developing and applying metrics,5
measure success and optimize performance,5
document key performance metrics,5
"track kpis (adoption, quality, time-to-value)",5
measure business impact,5
monitor program kpis,5
performance standards alignment,5
expense tracking,5
familiarity with autonomous system kpis and performance metrics,5
contribute to tool evaluation feedback loops,5
tracking key performance indicators (kpis),5
hr analytics tools,5
measure impact,5
gather kpis to track progress across projects,5
"understanding model trade-offs (size, latency, cost, output quality)",5
model performance tracking,5
drive operational efficiency,5
collecting and analyzing performance data,5
establish metrics and dashboards to monitor performance,5
monitoring model performance in production,5
define and track success metrics,5
detailed analytical reports,5
cost estimation,5
earned value management (evm) reporting,5
tracking project performance,5
"report on business impact, roi, and success metrics",5
performance marketing,5
performance monitoring,5
experience developing and writing performance work statements (pws) or statements of work (sows),5
establish kpis,5
performance feedback,5
metrics dashboards,5
"establish standardized processes, tools, and metrics",5
monitor technology budgets,5
interpret trends and develop action plans for kpis,5
performance oversight,5
"govern product analytics (usage metrics, incident impact)",5
defining programmatic metrics,5
performance testing,5
use of best fit methodology,5
evaluate product performance metrics,5
"define success criteria, okrs, and kpis",5
dashboards proficiency,5
calculating roi,5
estimating,5
business performance,5
business impact measurement,5
kpis/okrs,5
statistics (preferred field),5
defining success metrics,5
visualizing key performance indicators,5
enhance productivity,5
present performance reports,5
financial strength improvement,5
success metrics reporting,5
measuring success in terms of business outcomes,5
dashboard proficiency,5
automated alerting systems for performance degradation,5
monitor portfolio progress,5
10+ years experience in engineering or product/technical program management or data analysis or product development (preferred),6
experience working with and managing open source software solutions,6
5+ years of experience leading programs,6
1+ year experience working with llms,6
5+ years software development experience,6
10+ years engineering experience,6
5+ years project management experience,6
3+ years experience managing and delivering data products (preferred),6
3+ years expertise in competitive landscape (note-taking platforms),6
5+ years of hands-on experience,6
5 years of manufacturing or supply chain analytics experience,6
6+ years in engineering or product/technical program management or data analysis or product development,6
5+ years of experience in project or program management,6
7+ years of experience in technical program management,6
"experience working with engineering, research, design, and product management teams",6
10+ years running coe’s,6
1+ years of ai experience (technology capacity),6
8+ years of product management experience,6
8 years of experience in program management,6
5+ years of experience in business analysis,6
7+ years of working directly with engineering teams experience,6
at least 7 years of experience (sw program/project manager),6
2+ years software development experience,6
10+ years technical program management,6
experience leading large-scale healthcare it projects,6
2+ years experience managing cross-functional projects,6
7+ years of project management experience,6
8+ years of technical program management experience,6
five years of experience in a technology environment,6
experience in wealth or asset management,6
1+ year experience working with prompt engineering,6
8+ years experience (preferred),6
7+ years managing it/technology projects,6
experience with software development life cycle,6
experience in higher education or edtech,6
"3+ years of experience supporting, planning, scheduling, coordinating, or delivering ai, data science, or machine learning projects",6
experience in financial services,6
experience in software development environments,6
8+ years implementing security programs/projects,6
1+ year experience working with fine-tuning,6
8+ years working in technical program management,6
10+ years as hands-on technical program manager,6
experience in government affairs (preferred),6
7+ years of project/program management experience,6
prior experience in contract or consulting roles,6
5+ years of technical program management working directly with software engineering teams experience,6
3+ years project management experience,6
5+ years in program or project management,6
5+ years of experience leading change management initiatives,6
3+ years working directly with engineering teams (preferred),6
5 years experience in engineering or program management (if bachelor's degree held),6
3+ years of project management experience,6
4+ years experience in engineering,6
5 years of product/project/program management experience,6
5+ years of experience leading projects,6
proven sw epm experience,6
extensive experience working with banking institutions,6
"4-7 years of relevant work experience in business, engineering, or a related field",6
"7+ years of experience in a related field or industry (preferred, with ms/phd)",6
leading engineers in a fast-paced product development climate,6
3-5 years experience in product operations,6
equivalent experience/training combination,6
4 years product design experience,6
7+ years program management experience,6
1+ years of ai experience (product management capacity),6
7+ years in program or portfolio management,6
financial services experience (preferred),6
3-5 years consulting for banks experience,6
3-5 years experience in digital production,6
3+ years of experience in program or project management,6
10-15 years in program management,6
5+ years of experience in business intelligence,6
ml experience,6
8 years program management,6
3+ years of software development experience,6
3-5 years banking industry experience,6
experience in technical product environments,6
"experience leading ato/rmf planning, documentation, and accreditation efforts",6
4+ years experience in data analysis or product development,6
5+ years of technical product or program management experience,6
4+ years experience in product/technical program management,6
6+ years experience managing cross-functional projects (preferred),6
5+ years of experience in systems analysis,6
1+ year reading and/or writing code (preferred),6
2-3 years of practical professional experience in project management,6
5+ years of experience in project management,6
7+ years technical product or program management experience,6
6 years engineering program management,6
4+ years professional experience,6
maturity to navigate senior engineering folks,6
1+ years of ai experience (consulting capacity),6
3 years experience in product design (if master's held),6
3+ years technical product or program management experience,6
relevant technical field experience,6
experience leading software projects,6
3+ years of program management experience,6
6+ years of technical program or project management experience,6
3-5 years experience in digital project management,6
extensive experience working with financial institutions,6
supervision,7
office-based role,7
developing leadership updates,7
provide support and guidance,7
managing highly visible role with company-wide impact,7
mentoring and coaching,7
mentoring,7
effective communication with all levels of leadership,7
influence without authority,7
build relationships and manage by influence,7
education leadership,7
inclusive leadership practices,7
"oversee authority to operate (ato) planning, documentation, and evidence gathering",7
technical leadership,7
strategic program leadership,7
facilitate meetings,7
influence across organizational boundaries,7
executive communication,7
"run governance cadences (stand-ups, status reviews, steering committees)",7
strategic advisor to executive leadership,7
communicating with executive leadership,7
management by influence,7
working with executive leadership,7
coaching,7
ability to communicate at the senior leadership levels,7
ability to influence outcomes without formal authority,7
prepare and deliver executive-level reports and presentations,7
chair and manage the genai governance committee,7
seasoned leader,7
drive operational excellence,7
mentorship role,7
operating with influence,7
guide junior employee activities,7
executive briefings,7
own monthly leadership reviews,7
communication effectively with executives,7
program manager governance & oversight,7
interacting with flag officers,7
complete responsibility for engagement management,7
leading without direct authority,7
cross-functional leadership,7
scheduling and facilitating meetings,7
ability to interact with all organizational levels,7
servant leadership,7
executive presence,7
communication with leadership,7
review junior employee activities,7
provide operational support to executive leadership,7
nurture accountability,7
comfortable presenting to executives,7
excellent executive communication,7
steering committees management,7
leadership,7
provide direction and mentoring,7
prepare executive briefings,7
responsible/accountable,7
explain analyses and recommendations to executives,7
mentorship,7
trusted advisor,7
mentors or supervises employees,7
contribute to thought leadership and point-of-view documents,7
establish center of excellence,7
strategic leader,7
coordinating efforts with centers of excellent (coe),7
exceptional cross-functional leadership,7
confidently interface with all levels of staff,7
interacting with senior executives,7
sound executive presence,7
ensuring leadership visibility into risks and outcomes,7
prepare reports of progress for leadership,7
briefing executive leadership,7
exceptional collaborative leadership style,7
"cross‑functional leadership (product, delivery, security, legal, risk)",7
leader alignment,7
enhance employee experiences,7
senior level position,7
strategic leadership,7
demonstrated leadership skills,7
ability to influence,7
experience managing executive-level updates,7
provide regular updates to leadership,7
"drive projects from initial conception through to successful, measurable launch",8
ms project,8
smartsheet (project management tool),8
project management certification,8
project management principles,8
project management expertise,8
managing multiple projects across domains,8
define project scopes,8
3+ years managing cross-functional projects,8
utilize modern project management tools to maintain real-time visibility and track progress,8
project scope management,8
defining project scope,8
align project outcomes with the company’s ai roadmap,8
ensuring the highest levels of project execution and rigor,8
drive execution of digital creative projects,8
"managing key project management collaborative, tracking, and communications tools and systems",8
"proven ability to lead complex, cross-functional projects independently",8
manage multiple projects simultaneously,8
initiate pilot projects,8
contribute to program level activities (m&a),8
project management tools,8
proven track record as a program or project manager within the ic,8
"lead complex, multi-disciplinary projects from start to finish",8
managing technical projects from conception through to deployment,8
cognitive project management for artificial intelligence (cpmai) certification,8
develop project timelines,8
project tracking,8
deep knowledge of project/program management principles,8
building roadmaps,8
manage infrastructure projects,8
organize and lead project status meetings,8
project leadership,8
manage requirements throughout the project lifecycle,8
leading large-scale healthcare it projects,8
project management professional (pmp) certification,8
project execution,8
managing complex cross-functional projects,8
project breakdown into workstreams,8
5-7+ years managing complex educational technology projects,8
ensure project documentation is current and accessible,8
managing project portfolios,8
coordinate with software development,8
ensuring project alignment with enterprise roadmap,8
clearly communicate project impact,8
project plan development,8
project implementation,8
manage project schedules,8
high visibility projects,8
evaluate project success,8
managing end-to-end lifecycle of multiple data/ai projects,8
"managing complex, multi-phase projects",8
define project scope,8
oversee use of technology project management tools,8
managing project activities,8
managing inter-project dependencies,8
project management best practices,8
lead the full project lifecycle,8
8+ years managing complex technology projects (preferred),8
project closeout,8
ensuring projects are on schedule,8
proven ability to manage complex technical projects,8
lead end-to-end project execution,8
defining project objectives and deliverables,8
digital transformation projects experience,8
lead end-to-end project management for strategic initiatives,8
managing multiple projects,8
managing multiple data/ai projects,8
setup processes and procedures to optimize project approach,8
ensure project scaling,8
project delivery and closure,8
managing ambiguity/experimental projects,8
monitor status of project roadmap,8
certification in project management,8
managing complex projects,8
supervision of project staff/vendors,8
manage day-to-day activities of projects and staff,8
project monitoring,8
regular project check-ins,8
"leading complex, cross-functional projects",8
project scheduling,8
end-to-end project management,8
tailor project management processes,8
8+ years managing cross-functional projects (preferred),8
full project lifecycle management,8
project management professional (pmp),8
"detailed plans outlining project phases, timelines, and milestones",8
digital project management background,8
aligning projects with organizational goals,8
project feasibility analysis,8
proven project manager experience,8
project schedule management,8
ms project proficiency,8
manage technology budgets,8
software project management tools,8
manage project lifecycle,8
project deployment/implementation,8
project breakdown into manageable pieces,8
manage gpu platform projects,8
program/project management tools,8
comfort working on technical projects,8
knowledge of project and program management practices in a dod setting,8
managing complex technical projects,8
managing ambiguous projects,8
manage online software development project activities,8
project management skills,8
technical project management,8
manage project scope and timelines,8
"complex, multi-disciplinary projects",8
managing diverse ai project portfolio,8
successfully delivering complex projects,8
project planning/ideation,8
develop comprehensive project plans,8
"define project goals, scope, and success metrics",8
coordinating ai project portfolio,8
project management,8
project planning,8
2+ years managing cross-functional projects,8
comfort working on non-technical projects,8
develop comprehensive project plans and budgets,8
project initiation,8
project lifecycle,8
monitor project progress,8
"define project vision, scope, goals, and deliverables",8
prioritization across ai project portfolio,8
project tracking software proficiency,8
project and program management practices,8
project governance,8
saas/cloud based projects,8
hybrid project management methodologies,8
certification in project management (preferred),8
"develop, refine and uphold project schedules",8
track record of successfully delivering complex projects,8
project scope statements,8
tailoring project management processes,8
project control,8
project closure,8
manage and lead powerbi reporting projects,8
project management practices,8
highly developed project management skills,8
project scoping,8
continuously improve project execution processes,8
schedule development/management,8
strong proficiency in project management tools,8
project execution and rigor,8
managing complex technology projects,8
directing projects successfully,8
"leading complex, high-impact projects",8
develop budgets,8
"define project scope, technical goals, and high-impact deliverables",8
scrum methodology,9
ability to coach teams on agile best practices,9
agile workflows (nice to have),9
agile certification (preferred),9
expertise in agile at scale,9
scrum teams,9
working in agile environment,9
proficiency in agile,9
agile practices,9
scrum methodologies,9
hands-on experience in agile environments,9
"oversee sprint planning, backlog prioritization, and iterative delivery",9
agile certification (csm/safe),9
agile development methodologies,9
facilitate agile workflows,9
safe (scaled agile framework),9
agile certifications,9
proficiency in waterfall,9
agile delivery,9
scrum certification (preferred),9
jira for agile planning and tracking,9
familiarity with agile methodologies,9
agile methodology,9
waterfall methodologies,9
8+ years of experience with agile methodologies or software project management tools,9
agile development process leadership,9
agile program delivery,9
agile methodologies,9
agile execution,9
drive agile sprint planning and execution,9
agile development,9
scrum,9
guiding multiple scrum teams concurrently,9
agile project management certification,9
proficiency in scrum,9
sprint planning,9
facilitate agile ceremonies,9
expertise in agile frameworks (scrum/kanban),9
experience leading and coaching cross-functional agile or scrum teams,9
agile sprint planning,9
jira (agile lifecycle tool),9
exceptional interpersonal skills,10
written communication,10
exceptional communication skills,10
clear communication,10
ability to build strong relationships at all levels,10
strong technical fluency,10
exceptional problem-solving skills,10
highly effective communicator (spoken and written),10
interpersonal skills,10
"upward, downward, and lateral communication skills",10
"exceptional written, verbal, and visual communication skills",10
solid communication skills,10
develop instructional media,10
organizational skills,10
sharp interpersonal skills,10
effective communications skills,10
advanced analytical skills,10
presentation skills,10
expand skills,10
strong interpersonal skills,10
clear communicator,10
written and verbal communications,10
excellent oral communication skills,10
sharepoint proficiency,10
expert proficiency in interpersonal communications,10
identify skills gaps,10
exceptional communication and interpersonal skills,10
problem-solving skills,10
expert-level problem-solving skills,10
analytical skills,10
excellent analytical skills,10
excellent verbal communication skills,10
analytical talent,10
communication,10
training performance requirements,10
strong interpersonal communication,10
strategic liaison skills,10
excellent communication skills,10
exceptional organizational skills,10
negotiation skills,10
education and communication initiatives,10
problem solving skills,10
communication skills,10
excellent written communication skills,10
outstanding interpersonal skills,10
communicating with clarity,10
effective communicator,10
visual communication,10
strong presentation skills for technical/non-technical audiences,10
written and verbal communication skills,10
conduct training sessions,10
strong problem-solving skills,10
verbal communication,10
strong analytical skills,10
excellent verbal skills,10
critical thinking and analytical skills,10
impeccable organizational skills,10
strong communication skills,10
problem-solving abilities,10
excellent written skills,10
excellent communication,10
highly skilled and self-driven,10
azure health data services,11
data-driven decisions,11
lead execution of foundational data capabilities,11
leading unified data fabric programs,11
"collaborate with engineering, data science, and business partners",11
federal government / homeland security / data solutions,11
leading large-scale data transformation programs,11
data modeling,11
model catalogs,11
foundation concepts of ml,11
operational data analysis,11
graph data science experience,11
enhance data analysis and forecasting,11
familiarity with nga data environments,11
big data experience,11
cloud-based advanced analytics design,11
machine learning understanding,11
"bridging enterprise architecture, data engineering, and business operations",11
experience with sql,11
metadata lineage,11
sql,11
technical grounding in data architecture and modeling,11
data presentation,11
databricks (preferred),11
databricks,11
business intelligence strategy,11
3+ years leading data-driven initiatives,11
model monitoring knowledge,11
business intelligence,11
managing enterprise data programs,11
10+ years enterprise data platforms focus,11
knowledge of gdpr,11
5+ years of experience in data analytics,11
data-driven decision-making,11
data-driven mindset,11
data to guide decisions,11
datalake,11
data science knowledge,11
significant exposure to data engineering,11
"experience with ssot, mdm, or unified data fabric programs",11
data science,11
driving data-driven decisions impacting product integrity,11
data literacy,11
aiml integration in analytics space,11
data visualization,11
scripts for data processing,11
supervised/unsupervised learning,11
gdpr,11
utilize data insights,11
data privacy laws knowledge,11
data analysis tools (preferred),11
hands-on work with data-driven performance analysis and optimization,11
derive actionable insights from complex data,11
data science/ai concepts,11
familiarity with data integration (preferred),11
data science fundamentals,11
data analytics,11
data processing documentation,11
data analytics knowledge,11
data security,11
data analysis,11
data analytics use,11
working knowledge of machine learning,11
built a few machine learning models,11
cutting-edge machine learning technologies,11
delivering data products,11
ai-first data pipelines,11
direct staff data tpms work activities,11
data analytics understanding,11
significant exposure to cloud infrastructure,11
curate datacamp learning paths,11
leveraging data insights,11
data-driven approach,11
data integration,11
data protection,11
sql (preferred),11
experience with statistical modeling,11
working closely with data scientists,11
data pipelines,11
technical fluency in cloud and data platforms,11
machine learning projects,11
machine learning,11
2+ years focused on powerbi and data presentation,11
data ingestion architecture documentation,11
data analytics fundamentals,11
data governance,11
ability to translate complex data insights into actionable strategies,11
ml models management,11
data-driven decision making,11
data-driven improvements,11
coordinate with data engineering,11
coordinate with data analytics,11
manage and lead data integration projects,11
machine learning (ml),11
understanding of data pipelines,11
data science concepts,11
supervised learning,11
understanding of business intelligence tools,11
petabyte scale data management,11
standardized data governance frameworks,11
"experience analyzing complex, large-scale data sets",11
aws cloud knowledge,11
promote data literacy and usage maturity,11
data contracts,11
baseline knowledge of machine learning algorithms,11
"3+ years delivering ai/ml, data science, or advanced analytics solutions",11
5 years leading data science initiatives,11
data usage/sharing concerns,11
managing cloud-based data pipelines,11
gdpr knowledge,11
data privacy,11
machine learning concepts,11
"collaborate with developers, data engineers, and data scientists",11
google cloud knowledge,11
"managing complex, large-scale data sets",11
record key decisions made,11
experience with large scale data transformations,11
knowledge graphs (nice to have),11
azure cloud knowledge,11
optimize processes and validate use cases leveraging data insights,11
"clarifying and analyzing requirements with data architects, smes, and engineers",11
data integration (preferred),11
oci cloud knowledge,11
commitment to quality and stakeholder satisfaction,12
stakeholder engagement skills,12
managing cross-functional stakeholders,12
developing and managing relationships with federal stakeholders,12
stakeholder partnering,12
stakeholder communication,12
effective communication with stakeholders,12
stakeholder engagement,12
collaborating with cross-functional global stakeholders,12
educate stakeholders and customers,12
fostering strategic partnerships,12
ability to align with stakeholders,12
simplified explanations for non-technical stakeholders,12
ability to influence stakeholders across all levels,12
engage various stakeholders,12
stakeholder management abilities,12
stakeholder collaboration,12
stakeholder relationship management,12
supporting regulatory advocacy and engagements discussions,12
"bridging communication between engineers, leadership, and stakeholders",12
providing governance and oversight,12
stakeholder relationship development,12
overseeing external partnerships,12
regular stakeholder updates,12
experience working with stakeholders to translate strategic objectives into executable plans,12
building alignment across diverse stakeholders,12
stakeholder coordination,12
"governance tools (collibra, alation, atlan)",12
"stakeholder collaboration (product, bu, client delivery teams)",12
non-profit environment,12
communicating with technical and non-technical stakeholders,12
stakeholder management,12
engage project sponsors and stakeholders for input,12
stakeholder dissemination,12
collaborate with strategic partners and early adopters,12
program governance practices,12
manage third-party solution pilots,12
manage partnerships,12
building effective partnerships,12
drive stakeholder alignment,12
managing multiple cross-functional stakeholders,12
communicating across varied audiences in a climate of debate,12
partner with stakeholders to prioritize solutions,12
multiple stakeholders management,12
regulatory advocacy and engagements,12
stakeholder updates,12
aligning stakeholders toward shared outcomes,12
primary interface with senior nga/ic stakeholders,12
"implementing best practices in project governance, documentation, and communication",12
1+ year communicating between technical and non-technical stakeholders,12
collaborate with stakeholders to define project scope,12
act as the bridge between engineering and business stakeholders,12
stakeholder communication (technical/non-technical),12
influencing stakeholders at all levels,12
ensure responsible development,12
coordinate cross-functional stakeholders and technical teams,12
individual contributor role,12
influence and align diverse stakeholders,12
partnering with product and infrastructure teams,12
"creating strategies for regulatory delivery, advocacy, and principles",12
act as a bridge between business stakeholders and technology team,12
work with stakeholders,12
adapting communication style for stakeholders,12
bachelor's degree in a directly related field,13
b.s. in data science,13
bachelor's degree in a technical field,13
bachelor's degree,13
"bachelor's degree in computer science, information systems, or a related field",13
master's degree (preferred),13
master’s degree in computer science,13
educational technology/higher education,13
b.s. or b.a. degree in computer science,13
bachelor’s degree in a related field,13
master’s degree in data science (preferred),13
background in higher education and industry/edtech settings,13
master’s degree in engineering,13
bachelor’s or master’s degree in a related technical field,13
master’s degree in business administration,13
bachelor's degree in technology management,13
b.s. or b.a. degree in project management,13
bachelor's degree in project management or related field,13
bachelor's degree in physics,13
computer science (preferred field),13
b.s. or b.a. degree in business administration,13
advanced degree (preferred),13
master's degree in computer science,13
bachelor’s degree in business,13
bachelor’s degree in engineering,13
m.s. or phd in data science (preferred),13
bachelor's degree in analytics,13
information technology (preferred field),13
proven track record launching online degree programs,13
master's degree in engineering,13
master’s degree in ai/ml,13
bachelor's degree in software engineering,13
bachelor's degree in computer science,13
bachelor’s degree,13
b.s. or b.a. degree in management,13
healthcare/life sciences,13
b.s. in computer engineering,13
m.s. or phd in computer engineering (preferred),13
b.s.,13
bachelor's degree in business management,13
related field degree,13
b.s. in computer science,13
m.s. or phd in computer science (preferred),13
bachelor’s degree in data science,13
bachelor's degree in applied sciences,13
mathematics (preferred field),13
leading first-to-market innovative degree format,13
related field bachelor's degree equivalent,13
master's degree,13
bachelor’s in a quantitative field,13
bachelor's degree in health care information technology,13
bachelor’s degree in computer science,13
master’s degree in program management,13
master’s degree in artificial intelligence (preferred),13
bachelor’s degree in information technology,13
master’s degree in business administration (preferred),13
bachelor's degree in engineering,13
bachelor's degree in computer sciences,13
master's degree in a related field,13
bachelor’s degree in systems engineering,13
bachelor's degree in a technology field,13
bachelor’s in a technical field,13
bachelor’s degree in business administration,13
bachelor's degree in information systems,13
master’s degree (a plus),13
bachelor’s degree in mathematics,13
bachelor's degree in mathematics,13
master’s degree in business analytics (preferred),13
bachelor’s degree or higher,13
enhance decision-making processes,14
ensure alignment with organizational goals,14
translating business objectives,14
alignment with ic mission priorities,14
"translate high-level objectives into actionable roadmaps, milestones, and deliverables",14
budgeting,14
alignment with nga enterprise objectives,14
prioritizing initiatives,14
managing competing demands,14
prioritization,14
strategic value assessment,14
negotiation,14
ensuring clarity and alignment on key product decisions,14
strategic oversight,14
strategic objectives,14
identify and resolve roadblocks and conflicts,14
execution discipline,14
apply analytical and strategic thinking to complex problems,14
balancing competing priorities,14
adopt effective processes,14
unified decision-making,14
communicating trade-offs,14
plan requirements,14
managing resources,14
strategic initiatives,14
defining clear objectives,14
contingency plans,14
portfolio prioritization,14
develop and execute launch strategies,14
issue management,14
experience prioritizing key initiatives,14
guiding high-stakes decisions,14
conflict resolution (resolving blockers),14
ensuring security efforts are well-coordinated,14
strategic business outcomes alignment,14
providing advice and counsel on optimal strategies,14
track priorities,14
ability to adjust and set priorities,14
scope management,14
prioritize high-impact use cases,14
flagging scope or priority changes,14
influencing outcomes consistent with priorities and strategies,14
analytical problem-solving,14
business strategy alignment,14
correct deviations from plans,14
algorithmic decision-making,14
stay ahead of competitive solutions,14
tradeoff balancing,14
ensuring alignment with organizational goals,14
organizational goals alignment,14
translating strategic objectives into executable plans,14
coordinate across organizational boundaries,14
strategic execution,14
facilitate internal change management,14
supporting informed decision-making,14
manage multiple priorities,14
resource planning,14
contract negotiations,14
resolve conflicts,14
planning,14
coordinating resource staffing and priorities,14
value/effort trade‑offs,14
"understanding of priorities, constraints, and unique business drivers",14
strategic planning,14
managing shifting priorities,14
strategic thinking,14
cost control,14
represent complex decisions,14
shifting priorities,14
organizational capacity planning,14
ability to influence strategic direction,14
resource coordination,14
work independently with minimal direction,14
decision making,14
strategic impact analysis,14
proven ability to manage multiple initiatives,14
alignment with organizational goals,14
budget management,14
problems of moderate scope and complexity,14
conflict resolution,14
managing technical constraints,14
bridging strategy with execution,14
turning strategy into execution,14
resource management,14
translating high-level objectives,14
solution-oriented mindset,14
enterprise strategy and workflow optimization,14
inform strategic decision-making,14
alignment with business priorities,14
ensure alignment with business objectives,14
translate business objectives into program goals,14
issue management (mitigation plans),14
provide input into strategic planning,14
comfortable operating where priorities evolve,14
business objectives alignment,14
technical tradeoff decisions,14
strategic lens,14
managing expectations,14
business needs alignment,14
solving challenging problems,14
"balancing business goals, user needs, and feasibility",14
problem-solving,14
bias for action,14
task assignments,14
managing complex cross-functional relationships,14
working independently with minimal direction,14
quality management,14
"align on scope, timelines, and dependencies",14
change management,14
drive technical tradeoff decisions,14
summarizing complex trade-offs,14
translating ambiguous business goals into requirements,14
reducing management overhead,14
understanding business objectives,14
"analytical, organized, and data-driven mindset",14
resolve a wide range of issues independently,14
managing complex efforts,14
define and enforce raci and decision-making frameworks,14
drive change management efforts,14
provide decision clarity,14
managing complex issues,14
align on architecture decisions,14
collaborate with department heads to identify and prioritize high-value genai use cases,14
represent trade-offs and solutions,14
managing competing priorities,14
strategy to execution,14
overseeing issue and priority management efforts,14
managing ambiguity,14
implement mitigation strategies and corrective actions,14
building consensus,14
budget management experience,14
escalation management,14
alignment with strategic priorities,14
complex cross-functional planning,14
resolving a wide range of issues independently,14
decision-making frameworks,14
resource maximization,14
organizational change management,14
resource allocation,14
issue identification and management,14
governance cadences management,14
priority management,14
objective,14
expectation management,14
priorities management,14
business strategy shaping,14
prioritizing tasks,14
strategic thinker,14
aligning with enterprise goals,14
bias mitigation,14
change management initiatives,14
driving strategic regulatory progress,14
azure (collaboration tools),15
experience working with global teams,15
supporting cross-cultural teams,15
comfortable presenting to technical teams,15
managing complex cross-functional efforts,15
team management,15
lead cross-functional teams,15
managing team-level capacity,15
coaching cross-functional teams,15
team building,15
leading cross-functional initiatives,15
collaborate with various departments,15
proven experience leading cross-functional teams,15
coordinate cross-functional teams,15
working across multiple l8 teams,15
team leadership,15
"manage complex, cross-functional initiatives",15
managing throughput across teams,15
harnessing the powers of teamwork,15
managing cross-functional teams,15
coach and train project team members,15
ability to influence cross-functional teams,15
team velocity tracking,15
experience working with marketing teams,15
team management skills,15
partner with product teams,15
experience collaborating in hybrid teams,15
thriving in a dynamic team,15
official records of team meetings,15
managing technical and strategy teams in data science,15
develop training programs and provide support to internal teams,15
experience managing projects across cross functional teams,15
managing team capacity and throughput,15
experience leveraging objective performance metrics to optimize team delivery,15
global team engagement,15
managing technical and strategy teams in data management,15
bridging technical and business teams,15
cross-functional collaboration,15
leading diverse teams,15
motivate project teams,15
guiding cross-functional team,15
managing strategy teams,15
enhance productivity across teams,15
team synchronization,15
collaborating with globally distributed teams,15
resolving cross-team blockers,15
ability to influence across teams,15
team coaching and training,15
orchestrate delivery across engineering and product teams,15
experience working with remote teams,15
working closely with business teams,15
build cross-functional teams,15
cross-functional coordination,15
driving alignment across pace teams and key business partners,15
effective teamwork,15
improve workflows and team efficiency,15
collaborate with enterprise analytics team to drive optimization efforts,15
partner with engineering teams to deliver on product roadmaps,15
team support,15
collaboration,15
leading multidisciplinary teams,15
aligning cross-functional teams around goals,15
managing technical and strategy teams in data analytics,15
capable of working collaboratively,15
orchestrating cross-functional initiatives,15
experience leading cross-functional project teams,15
"microsoft 365 (teams, sharepoint)",15
support the regional and local ai support teams globally,15
partnering with internal hardware teams,15
leading multiple projects and teams,15
leading cross-functional teams,15
design and deliver organization-wide awareness sessions and workshops,15
lead cross-functional initiatives,15
cross-organizational collaboration,15
align priorities across teams,15
strong collaboration,15
coordinate with clinical application teams,15
experience working with cross-functional teams,15
helping teams understand security tradeoffs,15
partnering with internal software teams,15
orchestrate aiml program across multiple teams,15
drive integration across internal teams and external partners,15
collaborate with operational leaders to implement tools,15
working across geographically dispersed teams and multiple time zones,15
team direction and support,15
"collaboration with product, engineering, legal, it, marketing teams",15
support solution design in client/partner meetings,15
collaborate closely with cross-functional teams,15
fostering cross-functional collaboration and innovation,15
experience working with creative teams,15
leading multi-disciplinary technical teams,15
guide technical teams,15
